CountryName	HIV_Prev_W_15	UnmetNeedMM	HSV-2 prevalence 2012	HPV_Prev15
TURKMENISTAN	0.0032	0.214	0.098	0.094
UGANDA	0.0821	0.378	0.38	0.336
UKRAINE	0.0042	0.274	0.098	0.214
UNITED ARAB EMIRATES	0.0008	0.296	0.126	0.017
UNITED KINGDOM	0.0014	0.062	0.098	0.115
UNITED STATES	0.002	0.125	0.184	0.07
URUGUAY	0.0021	0.107	0.184	0.183
UZBEKISTAN	0.0008	0.16	0.098	0.094
VANUATU	0.0011	0.259	0.119	0.053
VATICAN CITY				
VENEZUELA	0.0033	0.185	0.184	0.153
VIETNAM	0.0019	0.169	0.119	0.068
YEMEN	0.0002	0.421	0.126	0.017
ZAMBIA	0.1261	0.357	0.38	0.336
ZIMBABWE	0.1696	0.156	0.38	0.247
